This_Semester,Height,Gender,Excited_Class,Play_Instrument,Instrument_Type,Fave_Food,Year,Pop_US,Pop_India,State_Country,Car,Haircut,Change,Siblings,Sleep,Prof_Age,Coop,Exercise,Politics,Major,Drink
N,69,F,5,Y,Bassoon,Last,2,10,20,Connecticut,N,0,5,,8,,N,7,,,
N,72,F,5,N,,Last,4,1000,10,California,Y,75,0,,7,,N,6,,,
N,68,M,8,N,,Last,2,370,600,Massachussetts,N,18,65,,8.5,,N,4,,,
N,66,F,5,Y,Flute,Last,2,2,3,Canada,N,0,15,,8,,N,7,,,
N,62,F,5,N,,Throughout,3,300,1500,California,N,80,200,,8,,Y,7,,,
N,68,M,3,Y,Piano,Last,3,330,1200,NewJersey,Y,0,5,,8,,N,7,,,
N,66,F,8,Y,Guitar,First,2,300,300,Kenya,N,3,0,,7,,N,6,,,
N,71,?,3,Y,Flute,Last,4,20,1300,Pennsylvania,N,0,923,,8,,N,12,,,
N,68,M,8,N,,First,2,300,250,Nigeria,N,15,0,,7,,N,1,,,
N,68,M,7,Y,Piano,First,4,300,1000,Pennsylvania,Y,42,0,,5.5,,N,5,,,
N,72,M,6,Y,JazzBass,Last,3,375,1200,Pennsylvania,N,0,0,,8,,N,5,,,
N,76,M,7,Y,Saxophone,First,3,340,600,Illinois,N,35,0,,8,,N,3,,,
N,68,M,8,N,,First,4,600,700,California,N,17,30,,8,,N,7,,,
N,76,M,7,Y,Drums,First,3,350,1500,,N,0,900,,7.5,,N,6,,,
N,71,M,9,N,,Last,3,304,1008,Ohio,N,0,0,,7,,N,5,,,
N,65,M,6,Y,Ukelele,Last,3,700,1500,Kentucky,N,0,84,,7,,Y,4,,,
N,70,M,6,Y,Trombone,Last,4,320,900,Colorado,N,30,0,,7,,N,3,,,
N,72,M,8,Y,FenderRhodes,Last,4,320,1000,California,N,13,14,,6,,N,4,,,
N,72,M,10,Y,Bass,First,4,500,100,California,N,0,75,,8,,N,0,,,
N,67.5,M,6,N,,First,2,400,1200,Florida,Y,25,0,,8.5,,N,7,,,
N,69,M,7,N,,Last,2,200,275,Ohio,Y,0,0,,8,,N,6,,,
N,68,M,7,Y,Piano,Last,2,3.18,1300,Taiwan,N,0,284,,7.5,,N,7,,,
